Year,Game,Genre,Developer,Award
2009,Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,BAFTA
2007,BioShock,First-person shooter,Irrational Games,The Game Awards
2007,BioShock,First-person shooter,Irrational Games,BAFTA
2003,Call of Duty,First-person shooter,Infinity Ward,BAFTA
2008,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,Golden Joystick Awards
2001,Console: Gran Turismo 3: A-Spec,Racing,Polyphony Digital,BAFTA
2002,Console: Halo: Combat Evolved,First-person shooter,Bungie,BAFTA
2000,Console: MediEvil 2,Action-adventure,SCE Cambridge Studio,BAFTA
2014,Dark Souls II,Action role-playing,FromSoftware,Golden Joystick Awards
2016,Dark Souls III,Action role-playing,FromSoftware,Golden Joystick Awards
2014,Destiny,Action role-playing,Bungie,BAFTA
2012,Dishonored,Action-adventure,Arkane Studios,BAFTA
2004,Doom 3,First-person shooter,id Software,Golden Joystick Awards
2014,Dragon Age: Inquisition,Action role-playing,BioWare,The Game Awards
2008,Fallout 3,Action role-playing,Bethesda Game Studios,Game Developer Choice Awards
2009,Fallout 3,Action role-playing,Bethesda Game Studios,Golden Joystick Awards
2015,Fallout 4,Action role-playing,Bethesda Game Studios,BAFTA
2018,Fortnite Battle Royale,Battle royale,Epic Games,Golden Joystick Awards
2006,Gears of War,Third-person shooter,Epic Games,Game Developer Choice Awards
2007,Gears of War,Third-person shooter,Epic Games,Golden Joystick Awards
2018,God of War,Action-adventure,SIE Santa Monica Studio,The Game Awards
2018,God of War,Action-adventure,SIE Santa Monica Studio,BAFTA
2018,God of War,Action-adventure,SIE Santa Monica Studio,Game Developer Choice Awards
1998,GoldenEye 007,First-person shooter,Rare,BAFTA
2001,Grand Theft Auto III,Action-adventure,DMA Design,Game Developer Choice Awards
2002,Grand Theft Auto III,Action-adventure,DMA Design,Golden Joystick Awards
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,The Game Awards
2013,Grand Theft Auto V,Action-adventure,Rockstar North,The Game Awards
2013,Grand Theft Auto V,Action-adventure,Rockstar North,Golden Joystick Awards
2004,Grand Theft Auto: San Andreas,Action-adventure,Rockstar North,The Game Awards
2005,Grand Theft Auto: San Andreas,Action-adventure,Rockstar North,Golden Joystick Awards
2003,Grand Theft Auto: Vice City,Action-adventure,Rockstar North,Golden Joystick Awards
2004,Half-Life 2,First-person shooter,Valve,BAFTA
2004,Half-Life 2,First-person shooter,Valve,Game Developer Choice Awards
2000,Handheld: Pokémon Yellow,Role-playing,Game Freak,BAFTA
2001,Handheld: Tony Hawk's Pro Skater 2,Sports,Vicarious Visions,BAFTA
2012,Journey,Adventure,Thatgamecompany,Game Developer Choice Awards
